platform,url,observed_status,observed_identity_or_location,credential_risk,required_action,account_authority,status
Website,https://envitechal.com/,200,"Envi Tech AL; Karachi and Lahore laboratory entities",Controlled by repository ledger,"Keep website facts synchronized with claim ledger",Repository deployment process,VERIFIED
PNAC Karachi,https://pnac.gov.pk/pdfFiles/LAB-285,Official issuer document,"Envi Tech AL Laboratory; Karachi; LAB-285",Branch scope can be overgeneralized,"Recheck active status and exact published scope at every credential release",PNAC,VERIFIED_PRIMARY
PNAC Lahore,https://pnac.gov.pk/pdfFiles/LAB-347,Official issuer document,"Envi Tech AL; Lahore; LAB-347",Branch scope can be overgeneralized,"Recheck active status and exact published scope at every credential release",PNAC,VERIFIED_PRIMARY
Punjab EPA,https://epd.punjab.gov.pk/certified_labs,Official regulator page,"Envi Tech AL Lahore listing observed",Validity and listed scope can change,"Recheck official page and certificate before external wording changes",Punjab EPA,VERIFIED_PRIMARY
LinkedIn,https://www.linkedin.com/company/envitech-al,Public profile observed,"Envi Tech AL; Karachi headquarters; founded 2019",Recent posts use broad accreditation/regulatory-acceptance language,"Replace broad claims with approved branch-specific wording; review historical posts",Company LinkedIn owner,DRAFT_READY_ACCOUNT_ACTION_REQUIRED
Facebook,https://www.facebook.com/envitechal,Public profile returned 200,"Envitechal; Karachi",Profile facts and old posts require owner-side review,"Apply approved description and remove/scope stale credential claims",Company Facebook owner,ACCOUNT_REVIEW_REQUIRED
X,https://x.com/al_envi,Public profile returned 200,"Envi Tech AL handle",Profile facts and old posts require owner-side review,"Apply approved description and remove/scope stale credential claims",Company X owner,ACCOUNT_REVIEW_REQUIRED
Instagram,https://www.instagram.com/envitech2026/,Public profile returned 200,"Envi Tech AL profile",Profile facts and old posts require owner-side review,"Apply approved description and remove/scope stale credential claims",Company Instagram owner,ACCOUNT_REVIEW_REQUIRED
YouTube,https://www.youtube.com/channel/UC4C6CEHceAOGuzmSX_t7CpQ,Public channel returned 200,"Envi Tech AL channel",About text/video descriptions require owner-side review,"Apply approved description and scope credential statements",Company YouTube owner,ACCOUNT_REVIEW_REQUIRED
Google Business Profile Karachi,,Not verified in public audit,"Expected Karachi location record",Duplicate/location/credential risk,"Owner must verify claimed profile; align NAP and branch-specific credential wording",Company GBP owner,ACCOUNT_ACCESS_REQUIRED
Google Business Profile Lahore,,Not verified in public audit,"Expected Lahore location record",Duplicate/location/credential risk,"Owner must verify claimed profile; align NAP and branch-specific credential wording",Company GBP owner,ACCOUNT_ACCESS_REQUIRED
Bing Places Karachi,,Not verified in public audit,"Expected Karachi location record",Duplicate/location/credential risk,"Owner must verify claimed profile and synchronize from approved facts",Company Bing owner,ACCOUNT_ACCESS_REQUIRED
Bing Places Lahore,,Not verified in public audit,"Expected Lahore location record",Duplicate/location/credential risk,"Owner must verify claimed profile and synchronize from approved facts",Company Bing owner,ACCOUNT_ACCESS_REQUIRED
